iter	Logloss
0	0.6796278961
1	0.6668735279
2	0.6524216435
3	0.639224203
4	0.6285203835
5	0.6176363703
6	0.6077574055
7	0.6000321306
8	0.5904400709
9	0.5826675196
10	0.5745716947
11	0.5674399047
12	0.5597188212
13	0.5521319648
14	0.5460805622
15	0.5404725819
16	0.5353926577
17	0.529407189
18	0.5242404855
19	0.5190573265
20	0.5136956558
21	0.5094749135
22	0.5038514274
23	0.4998622794
24	0.4959181227
25	0.4923277807
26	0.4878350481
27	0.4837471667
28	0.4796860541
29	0.4765431042
30	0.4739033189
31	0.4697877482
32	0.4669046567
33	0.4641165923
34	0.4593464331
35	0.4568709513
36	0.4534772971
37	0.4514836708
38	0.4486047654
39	0.4439311214
40	0.440634791
41	0.4384251852
42	0.4363505057
43	0.4337307226
44	0.4322564414
45	0.4299915703
46	0.4278584975
47	0.4254773841
48	0.4237323005
49	0.4217606493
50	0.4202881219
51	0.4188397125
52	0.4160311586
53	0.414078777
54	0.4128093511
55	0.4106050609
56	0.4088624264
57	0.4069281646
58	0.4058387981
59	0.4029521527
60	0.4012636605
61	0.4002177427
62	0.3987331998
63	0.3979452454
64	0.3965394253
65	0.3947435676
66	0.3933408739
67	0.3926046399
68	0.3911864312
69	0.3889320266
70	0.3881749108
71	0.3869620249
72	0.3857974517
73	0.3846547209
74	0.3837905644
75	0.3818548392
76	0.3809426031
77	0.3799477071
78	0.3788409333
79	0.3778270255
80	0.3771956695
81	0.3762147529
82	0.3751024971
83	0.3742576677
84	0.3727427756
85	0.3717491118
86	0.3699434188
87	0.3694559313
88	0.368837535
89	0.3675534994
90	0.3668797454
91	0.365225543
92	0.3646871983
93	0.3630995774
94	0.3626414917
95	0.3620586998
96	0.3615785214
97	0.3605480281
98	0.3594893379
99	0.3582823282
100	0.3577591402
101	0.3571095226
102	0.3561803897
103	0.3557042868
104	0.3550510508
105	0.3545362356
106	0.3536583221
107	0.3530598981
108	0.3526560059
109	0.3521275776
110	0.351743878
111	0.3511745352
112	0.3507570403
113	0.3497260411
114	0.3487883392
115	0.3484170658
116	0.347945838
117	0.3475885053
118	0.3472464598
119	0.3468234476
120	0.3464233543
121	0.3456781743
122	0.3453013699
123	0.3448885607
124	0.3445100974
125	0.3438325352
126	0.3435253532
127	0.3432835234
128	0.3430157083
129	0.3427289243
130	0.3423886816
131	0.3421873778
132	0.3418510304
133	0.3415911058
134	0.3409616113
135	0.3404209583
136	0.3400862535
137	0.3396540879
138	0.3393906406
139	0.3390116821
140	0.3383692089
141	0.3380201545
142	0.3378597926
143	0.3376055981
144	0.337357883
145	0.336781024
146	0.3364876542
147	0.3362152689
148	0.3355649883
149	0.3352720292
150	0.335077521
151	0.334686213
152	0.3343066137
153	0.3341590143
154	0.3336376098
155	0.3332669386
156	0.3329361618
157	0.3327407486
158	0.3323480931
159	0.3317311667
160	0.3315356128
161	0.3312357658
162	0.3307315972
163	0.330477574
164	0.3302031832
165	0.3300638387
166	0.3298452932
167	0.3294583104
168	0.3293116607
169	0.3291492527
170	0.3284703435
171	0.3278988053
172	0.3277701373
173	0.3275533504
174	0.3271880178
175	0.3270207536
176	0.3268757714
177	0.3267454058
178	0.3264694457
179	0.3260154476
180	0.3258446512
181	0.3256001931
182	0.3250766221
183	0.3247926158
